id,cuisine_type
0kFP2UiYHoJHx6d9w1ZNhg,mexican
1y900NbcusWxwVb01RSdcg,mexican
8Gg_SoA5TA7pLNB-xuPhPw,mexican
xlv_CcDXH1hkG4Wq5mECkQ,mexican
yKPRuBvD3ScCc18QrZ4Y6w,mexican
PqqnNrUtU7XTKQvUM4cyqQ,mexican
FkA9aoMhWO4XKFMTuTnl4Q,mexican
X8Tg6XHKERw-vdWRU4oH3Q,mexican
hAPJ5u7-gg358T2Y8mT91Q,mexican
4wVaJsvTuBTXAMzkhjwccg,mexican
wAmWk6hQaHjREDVe8z2otA,mexican
023ivwWL8ruoHsr3-AaGFA,mexican
GuqvwAFpjjz3m3vicbJBTQ,mexican
10tnq8x2qI7ix7VqVP0rMw,mexican
yCa3NOjGUKXBhkAeXpbQ5w,mexican
MOZ5R0tqNmO2InOd3eDw5g,mexican
xXALPj_reG2ynK23XxaYVA,mexican
SH3ZyDP30_WTsU4gXaAgHw,mexican
0oRYwB_SLqjHptvUQwwe2w,mexican
tK_4ECZ0EPIhW8588hfn5g,mexican
jy6AHLVJ7cVJZ4Fl_ds3Qg,mexican
rCmhjpAgxRlj1jGwjT6yGw,mexican
emL5uzqKWWqUIsew5R9nnA,mexican
b_3yI7FXcIle71lD9Tulww,mexican
8CTaeOtqr461Ah5yWcnCPw,mexican
HKBJGt04_ZSdiIWA_6J8kQ,mexican
KyOtOluTH8c8SICpf85thg,mexican
uSS5cbcb_KLoXE5yzwjI6w,mexican
-Qn5nXGhxWHNePA0dYmPSg,mexican
k5BZq7XdRFr4xMbZMMGxxg,mexican
aTBxCoZDOnqAXPDdQmrxMg,mexican
ve78MsETSSr4f_9yc3wmwA,mexican
TM6JJwxRoZ9YXlp9MyGuIw,mexican
uwUzZf2IQFVb5puJuNd9rA,mexican
exRan2_MbIQw_FO74qlmkw,mexican
sBP8072dTkHDHyS8MTaZcQ,mexican
0MqKMvDvmw6s3mnycYLcog,mexican
4JHI2ozn3KhUARaxKOlJyw,mexican
EhJO7B2hzHq8NT8iFKoCwg,mexican
8hPvJcOkU24zS88YGJ-qZA,mexican
nV-LbnEV_2OwXvXRany1sg,mexican
w1TO4XzCVh-wESRRGQiiRw,mexican
oLp2RDF7UgS_mjnikme5Gg,mexican
t9zsZdwFdfrhMTj2FIwcDQ,mexican
DGa4PysLx10aRnXqRQ4Cng,mexican
ub2VfE7SRLJABAClzGZp3A,mexican
-yR4PHWqpkrPopwv4wrC5g,mexican
lb4EbaGjvHarGSptZCW-sQ,mexican
mfJaJSspapkcL2MIsNuUjw,mexican
IhSVn0TaX8xXb3wcQ-fgcA,chinese
hYFta_EvvUmuWw_WCO_-iA,chinese
RR2EAtBRVzoP8icHrHGDJg,chinese
7FeUdDizBscZueMDaKdjGQ,chinese
BtsXojrMtfLRhhFK7rm35A,chinese
1fVp9c5Vw04ig171a_juRw,chinese
rk8V5c1Wr5gVLKOaY0g4VQ,chinese
Pj7vKy-QJBwUokCMji2MZQ,chinese
Ypz7j5vm0kZ2XqpjGjbHNw,chinese
NebgteFykeM1gwiVgPcCHw,chinese
XaEFFUabnbH8ZF7ccmSAlQ,chinese
XH2CNWlLU2HXROsT5NkCmA,chinese
zEgjnd9lBU1ppfiL1U8_TA,chinese
gNmF50bsYnpVQCNXoW02mg,chinese
9yTwuznxkJo9JZl7KBZ0zw,chinese
P_a_taGxqxvkzdzp51Bm7A,chinese
HVZ4E2yL-k37oC4ayiubbQ,chinese
QGXNIWYH0S8dGVDJoPs3OA,chinese
anayUOcPkiAvijszwOf_Rw,chinese
cn3JXMq29UfRkFCUD0Bhbw,chinese
g7LLglNkZODPM6VyIqiEAQ,chinese
KIPrTLyJb0mHpsxuaCByZg,chinese
jCJloBC-UGbJYz02OpJIvw,chinese
agCuWjaUJ8xBO_PDDQRiGw,chinese
oJjMYhA6z1_BVaQpSdyl8g,chinese
U2aUFZARLeSMf4RQIxjuTw,chinese
C_khPKtuTaelW76GYpeFEg,chinese
m1sfDqgDiKKyUaXo9DWVeQ,chinese
oe8GEFE4QLFAKt87y7zcgA,chinese
nI1UYDCYUTt23TpGxqnLKg,chinese
ItL1MPc-ruJagHTkdshW7w,chinese
WThqnTprg2txsVBt7D0Tkg,chinese
k8GFfCXO2FIIJIo0ICYSRA,chinese
wzmeaMTm5cZ1JCjep7iQeA,chinese
LyiCS2vA5w13skWiDtAvJw,chinese
gNlPrIFgZHqO4dUdhbfekw,chinese
kHlYnhMOoMBbe3VCZflpKQ,chinese
Qgv2vyUV-DwK8YwrhU-jtw,chinese
S0CYlCpjRfq13k2qz06DHw,chinese
SYFLyQAFRFoDURRWafeLKA,chinese
4FD0TAxe70nb3ngk3sXF9Q,chinese
4-hz17jhnNBsmOaev2Rr8A,chinese
_PdcklnobN5F81P_H2rk1A,chinese
qI_HCkmN5Hl0ekVgFdHbCw,chinese
v5CsUc6pr7foHWsoQ0Y36Q,chinese
wdGMVLUzocmnl2tST0lheg,chinese
KUW8hx5kinOT_XJj3ttCDQ,chinese
pCeNP_wq7i1Pgl0yCYEgag,chinese
bKXnm2k44mSdU0fP69lY-g,chinese
aSprnLY-6GkMk1cuv0TMeA,italian
fyepvQnhH7O1Bw9V4Xu-OA,italian
Ry9w-jFALWYhazi6jjyIKw,italian
pwzLpR9ys1NkE3ppjT88MQ,italian
xbrQ2dHuQoFJmNxAuOky4A,italian
opCMbGK-fvGPRSBibPzu3w,italian
ktMtLr8mp4K7IGxUgCTs6Q,italian
fyC2cBsQ0FsMJmv0jSworg,italian
l3rxoTNZLlzP4S5UWRa5NA,italian
9T8Ootw4aqmaO42gI-wBSA,italian
Gun7lX-5SYRWzJsNsu-U6g,italian
jzEaiiRa3497HWdf4QKHIA,italian
NnHFtT6Bm8CXsJhBRi75Sg,italian
N-gJbfzl24IbMIuqvDBE-Q,italian
aI39yRQqpTd1VuKqS-lwig,italian
d8USIZvTTqee35l34anRBg,italian
mYQMjrtHp8vsEKKNsRz1XA,italian
AWeQkgJ0uzNr5YxFr2Bx8g,italian
uboO7T3XSnl8iq0uQWhMXA,italian
LUjq-_hs89D5N1UGcmKAQw,italian
jT_MoIPo-zcg0YuPKO45eA,italian
wvn-FO-tY9_iWmA_OgMvEA,italian
0Tvwk0hvgaY0QVIsZGTZKQ,italian
2_3W7NFFN3m4U_8ffgEuyQ,italian
TsYrzVVtkKO4Asrk_L9stw,italian
25npnVAlhRjguunYS8zy8w,italian
zDujEq9qZk13nBcG2PH4tA,italian
h37t9rA06Sr4EetJjKrfzw,italian
BQSPAXJcPw-7Gt2CCrH2Yw,italian
Da9aNH6kW3fv4mTzqx3yPw,italian
vzDb6_Zkm4m8O7tNidojjA,italian
_V7YsDQ4Lb41rqfkuPzm1w,italian
jRQeYlGHXgcnrB8R86TKDQ,italian
5Ucd5yN_VFlMkhG3QYV2Ng,italian
qz0eIwvXkVTRAyGjJZpOFg,italian
fuS39acPaRi38DhSSwEI4Q,italian
wZkZmjZEJDraLJgAalnHvA,italian
kN0PvlrcjzEe57lp5Js6kw,italian
OkfqS1xsv26xa7siRZZqbw,italian
eVk4F9ixl89zyUHJ1G2Aiw,italian
YqHszHxkqaC6azgrOsRO1Q,italian
zo4JHfD2nWPUiqgsgDOaHQ,italian
CFR-HzVHKWRMpMAR3LAhzg,italian
o5mMVFk4Hcpk2FuKfgTgdg,italian
jnHbdsqlTKlPcmJ8BCP9-g,italian
wLzJbddDixAEZrF7VT6_hw,italian
md4VUyUd1WW3MnnUQoZZeg,italian
y9y6V8va7yt_TUnoO68z0w,italian
gkoAJruMnKVuoKVqorgFCA,italian
6eqrk1wCQMww_ejze5gvsg,italian
gkoAJruMnKVuoKVqorgFCA,italian
6eqrk1wCQMww_ejze5gvsg,italian